Nombre	Descripcion	Latitud	Longitud	Tipo	Clase_vial	Nombre_vial	Numero_vial	Codigo_postal
Parroquia Santa María la Mayor y San Julián	Sin descripcion	40.45775176629402	40.45775176629402	TemplosIglesiasCatolicas	CALLE	CENICIENTOS	1	28039
Parroquia Santa María la Real de la Almudena	Sin descripcion	40.41521119054696	40.41521119054696	TemplosIglesiasCatolicas	CALLE	MAYOR	90	28013
Parroquia Santa Matilde	Sin descripcion	40.446483072284444	40.446483072284444	TemplosIglesiasCatolicas	CALLE	LOPEZ DE HOYOS	166	28002
Parroquia Santa Mónica	Sin descripcion	40.43628582493575	40.43628582493575	TemplosIglesiasCatolicas	CALLE	PRINCIPE DE VERGARA	87	28006
Parroquia Santa Paula	Sin descripcion	40.46656008335928	40.46656008335928	TemplosIglesiasCatolicas	CARRETERA	CANILLAS	115	28043
Parroquia Santa Rita	Sin descripcion	40.43845634670502	40.43845634670502	TemplosIglesiasCatolicas	CALLE	GAZTAMBIDE	75	28015
Parroquia Santa Rosa de Lima	Sin descripcion	40.39885593724936	40.39885593724936	TemplosIglesiasCatolicas	CALLE	VÍA CARPETANA	47	28047
Parroquia Santa Teresa Benedicta de la Cruz	Sin descripcion	40.48948949494469	40.48948949494469	TemplosIglesiasCatolicas	CALLE	SENDA DEL INFANTE	22	28035
Parroquia Santa Teresa de Calcuta	Sin descripcion	40.39677413854557	40.39677413854557	TemplosIglesiasCatolicas	CALLE	MINERVA	58	28032
Parroquia Santa Teresa y Santa Isabel	Sin descripcion	40.43507812578093	40.43507812578093	TemplosIglesiasCatolicas	GLORIETA	PINTOR SOROLLA	2	28010
Parroquia Santa Ángela de la Cruz	Sin descripcion	40.47262213558603	40.47262213558603	TemplosIglesiasCatolicas	CALLE	CESAR MANRIQUE	7	28035
Parroquia Santas Justa y Rufina.	Sin descripcion	40.40716308851109	40.40716308851109	TemplosIglesiasCatolicas	CALLE	SANTA ÁUREA	7	28011
Parroquia Santas Perpetua y Felicidad	Sin descripcion	40.42668923239821	40.42668923239821	TemplosIglesiasCatolicas	CALLE	SANTA FELICIDAD	1	28017
Parroquia Santiago el Mayor y Nuestra Señora de las Cruces	Sin descripcion	40.42866052669565	40.42866052669565	TemplosIglesiasCatolicas	CALLE	SANTA CRUZ DE MARCENADO	11	28015
Parroquia Santiago y San Juan Bautista	Sin descripcion	40.41652031892383	40.41652031892383	MonumentosEdificiosArtisticos	PLAZA	SANTIAGO	24	28013
Parroquia Santo Cristo de la Misericordia	Sin descripcion	40.454665855235916	40.454665855235916	TemplosIglesiasCatolicas	CALLE	NUMANCIA	8	28039
Parroquia Santo Domingo Savio	Sin descripcion	40.430416107246955	40.430416107246955	TemplosIglesiasCatolicas	CALLE	SANTO DOMINGO SAVIO	2	28017
Parroquia Santo Domingo de Guzmán	Sin descripcion	40.38760029746739	40.38760029746739	TemplosIglesiasCatolicas	CALLE	CAMARENA	183	28047
Parroquia Santo Domingo de la Calzada	Sin descripcion	40.35747277692355	40.35747277692355	TemplosIglesiasCatolicas	CAÑADA	REAL GALIANA	17	28031
Parroquia Santo Niño de Cebu	Sin descripcion	40.44009015462179	40.44009015462179	TemplosIglesiasCatolicas	CALLE	LUCIO DEL VALLE	4	28003
Parroquia Santo Tomás Apóstol	Sin descripcion	40.425539942991506	40.425539942991506	TemplosIglesiasCatolicas	CALLE	PORTUGALETE	2	28017
Parroquia Santo Tomás de Villanueva	Sin descripcion	40.38238562242698	40.38238562242698	TemplosIglesiasCatolicas	CALLE	LEONESES	6	28018
Parroquia Santos Apóstoles Felipe y Santiago el Menor	Sin descripcion	40.4222373281895	40.4222373281895	TemplosIglesiasCatolicas	CALLE	POETA BLAS DE OTERO	79	28017
Parroquia Santos Cosme y Damián	Sin descripcion	40.389761241361015	40.389761241361015	TemplosIglesiasCatolicas	CALLE	RAMÍREZ TOMÉ	22	28038
Parroquia Santos Inocentes	Sin descripcion	40.38714034837897	40.38714034837897	TemplosIglesiasCatolicas	CALLE	EMBAJADORES	209	28045
Parroquia Santos Justo y Pastor	Sin descripcion	40.42667642437817	40.42667642437817	TemplosIglesiasCatolicas	PLAZA	DOS DE MAYO	11	28004
Parroquia Santísima Trinidad	Sin descripcion	40.439847970639065	40.439847970639065	TemplosIglesiasCatolicas	CALLE	MARTINEZ VILLERGAS	8	28027
Parroquia Santísimo Cristo de la Esperanza	Sin descripcion	40.441281010385794	40.441281010385794	TemplosIglesiasCatolicas	CALLE	MISTERIOS	38	28027
Parroquia Santísimo Cristo de la Guía - San Juan de Sahagún	Sin descripcion	40.40501123774939	40.40501123774939	TemplosIglesiasCatolicas	CAMINO	VIEJO DE VICALVARO	18	28032
Parroquia Santísimo Cristo de la Salud	Sin descripcion	40.4278378287955	40.4278378287955	TemplosIglesiasCatolicas	CALLE	AYALA	12	28001
Parroquia Santísimo Cristo del Amor	Sin descripcion	40.378656476172964	40.378656476172964	TemplosIglesiasCatolicas	CALLE	RAFAEL FINAT	46	28044
Parroquia Santísimo Redentor	Sin descripcion	40.46336374850606	40.46336374850606	TemplosIglesiasCatolicas	CALLE	FELIX BOIX	13	28036
Parroquia Santísimo Sacramento	Sin descripcion	40.4171617249341	40.4171617249341	TemplosIglesiasCatolicas	CALLE	ALCALDE SAINZ DE BARANDA	3	28009
Parroquia Transfiguración del Señor	Sin descripcion	40.3834839413912	40.3834839413912	TemplosIglesiasCatolicas	CALLE	ISABELITA USERA	34	28026
Parroquia Virgen Peregrina	Sin descripcion	40.43469027180194	40.43469027180194	TemplosIglesiasCatolicas	CALLE	DIEGO DE LEON	36	28006
Parroquia Virgen de La Candelaria	Sin descripcion	40.43193943055567	40.43193943055567	TemplosIglesiasCatolicas	PLAZA	NUESTRA SEÑORA DE LA CANDELARIA	1	28037
Parroquia Virgen de La Fuensanta	Sin descripcion	40.38573108884355	40.38573108884355	TemplosIglesiasCatolicas	CALLE	SAN FILIBERTO	9	28026
Parroquia Virgen de La Nueva	Sin descripcion	40.46228317076973	40.46228317076973	TemplosIglesiasCatolicas	CALLE	CALANDA	28	28043
Parroquia Virgen de La Oliva	Sin descripcion	40.4287339302711	40.4287339302711	TemplosIglesiasCatolicas	CALLE	CASTILLO DE SIMANCAS	1	28037
Parroquia Virgen de La Paloma y San Pedro el Real	Sin descripcion	40.40814049050016	40.40814049050016	TemplosIglesiasCatolicas	CALLE	TOLEDO	98	28005
Parroquia Virgen de La Providencia y San Cayetano	Sin descripcion	40.43443807055464	40.43443807055464	TemplosIglesiasCatolicas	CALLE	FERRER DEL RIO	18	28028
Parroquia Virgen de Lluc	Sin descripcion			TemplosIglesiasCatolicas				
Parroquia Virgen de Los Llanos	Sin descripcion	40.377239028819616	40.377239028819616	TemplosIglesiasCatolicas	PLAZA	VIRGEN DE LOS LLANOS	1	28044
Parroquia Virgen de Los Remedios	Sin descripcion	40.396014279260996	40.396014279260996	TemplosIglesiasCatolicas	CALLE	TOMASA RUIZ	8	28019
Parroquia Virgen de Nuria	Sin descripcion	40.403887392280765	40.403887392280765	TemplosIglesiasCatolicas	CALLE	JUAN DE URBIETA	5	28007
Parroquia Virgen del Castillo	Sin descripcion	40.473561352383825	40.473561352383825	TemplosIglesiasCatolicas	AVENIDA	SAN LUIS	42	28033
Parroquia Virgen del Coro	Sin descripcion	40.4337147571673	40.4337147571673	TemplosIglesiasCatolicas	CALLE	VIRGEN DE LA ALEGRIA	12	28027
Parroquia Virgen del Cortijo	Sin descripcion	40.48774033383058	40.48774033383058	TemplosIglesiasCatolicas	CALLE	OÑA	91	28050
Parroquia Virgen del Mar	Sin descripcion	40.42655202493092	40.42655202493092	TemplosIglesiasCatolicas	CALLE	PEONES	2	28037
Parroquia Virgen del Refugio y Santa Lucía	Sin descripcion	40.491863823601186	40.491863823601186	TemplosIglesiasCatolicas	CALLE	MANRESA	60	28034
Parroquia Visitación de Nuestra Señora	Sin descripcion	40.407302967830155	40.407302967830155	TemplosIglesiasCatolicas	CALLE	PICO DE LOS ARTILLEROS	82	28030
Parroquia castrense Nuestra Señora del Carmen	Sin descripcion	40.47105798433232	40.47105798433232	TemplosIglesiasCatolicas	CALLE	SERRANO GALVACHE	7	28033
Primer Monasterio de la Visitación (Las Salesas)	Sin descripcion	40.43022928515631	40.43022928515631	TemplosIglesiasCatolicas	CALLE	SANTA ENGRACIA	20	28010
Real Basílica Nuestra Señora de Atocha	Sin descripcion	40.40572253343359	40.40572253343359	TemplosIglesiasCatolicas	CALLE	JULIAN GAYARRE	1	28014
Real Basílica San Francisco el Grande	Conjunto conventual que sustituyó al monasterio franciscano medieval, construido por Francisco de las Cabezas entre 1761 y 1768, que fue relevado por Antonio Polo y que concluye Francisco Sabatini en 1784 donde se exponen colecciones de pinturas de los siglos XVII al XIX.	40.41084005024222	40.41084005024222	MonumentosEdificiosArtisticos	CALLE	SAN BUENAVENTURA	1	28005
Real Monasterio de Santa Isabel	El Real Monasterio de Santa Isabel está situado en Madrid, dentro de la ciudad histórica, en una gran manzana, próxima a Atocha. Santa Isabel agrupa dos fundaciones, un colegio de niñas, establecido por Felipe II, y un convento de clausura de monjas agustinas recoletas, fundado por la esposa de Felipe III, doña Margarita de Austria. La arquitectura de la iglesia se debe a Gómez de Mora, de mediados del siglo XVIII. En la clausura se conservan numerosas obras pictóricas de los siglos XVII y XVIII.	40.41213027498252	40.41213027498252	MonumentosEdificiosArtisticos	CALLE	SANTA ISABEL	48	28012
Real Monasterio de la Encarnación	Edificio construído por Juan Gómez de Mora de 1611 a 1616 como monasterio anejo al Alcázar Real, modelo de lo que se ha dado en llamar barroco madrileño. Cuenta con la reliquia de San Pantaleón.	40.41967800877382	40.41967800877382	MonumentosEdificiosArtisticos	PLAZA	ENCARNACION	1	28013
Santuario Nuestra Señora de Lourdes	Sin descripcion	40.430190394656044	40.430190394656044	TemplosIglesiasCatolicas	CALLE	FORTUNY	21	28010
Santuario Nuestra Señora de Schönstatt	Sin descripcion	40.4382983860259	40.4382983860259	TemplosIglesiasCatolicas	CALLE	SERRANO	97	28006
Santuario Nuestra Señora de los Peligros	Sin descripcion	40.44225176356738	40.44225176356738	TemplosIglesiasCatolicas	CALLE	JOAQUIN COSTA	49	28002
Segundo Monasterio de la Visitación (Las Salesas)	Sin descripcion	40.42746767635856	40.42746767635856	TemplosIglesiasCatolicas	CALLE	SAN BERNARDO	72	28015
Tercer Monasterio de la Visitación (Las Salesas)	Sin descripcion	40.44360221440594	40.44360221440594	TemplosIglesiasCatolicas	PASEO	SAN FRANCISCO DE SALES	48	28003
